RawSpecies,ScientificName,SpeciesCode,Database_ID,Project,old_scientific,SpeciesScientific
ARFU2,"Arctophila fulva (Trin.) Andersson",ARFU2,USDA_Plants,ngee_arctic,NA,NA
ARLA2,"Arctagrostis latifolia (R.Br.) Griseb.",ARLA2,USDA_Plants,ngee_arctic,NA,NA
CAAQ,"Carex aquatilis Wahlenb.",CAAQ,USDA_Plants,ngee_arctic,NA,NA
DUFI,"Dupontia fisheri R.Br.",DUFI,USDA_Plants,ngee_arctic,NA,NA
ERAN6,"Eriophorum angustifolium Honck.",ERAN6,USDA_Plants,ngee_arctic,NA,NA
PEFR5,"Petasites frigidus (L.) Fr.",PEFR5,USDA_Plants,ngee_arctic,NA,NA
SAPU15,"Salix pulchra Cham.",SAPU15,USDA_Plants,ngee_arctic,NA,NA
VAVI,"Vaccinium vitis-idaea L.",VAVI,USDA_Plants,ngee_arctic,NA,NA
SARO2,"Salix rotundifolia Trautv.",SARO2,USDA_Plants,ngee_arctic,NA,NA
POAR2,"Poa arctica R. Br.",POAR2,USDA_Plants,ngee_arctic,NA,NA
LUAR9,"Luzula arctica Blytt",LUAR9,USDA_Plants,ngee_arctic,NA,NA
SAPU6,"Saxifraga punctata L.",tro-29100182,ThePlantList,ngee_arctic,NA,NA
POHY4,"Potentilla hyparctica Malte",PONA6,USDA_Plants,ngee_arctic,NA,NA
ALNFRU,"Alnus alnobetula subsp. fruticosa (Rupr.) Raus",kew-466796,ThePlantList,ngee_arctic,NA,NA
BETGLA,"Betula nana L. subsp. exilis",BENAE,USDA_Plants,ngee_arctic,NA,NA
SALGLA,"Salix glauca var. acutifolia (Hook.) C.K.Schneid.",kew-5003760,ThePlantList,ngee_arctic,NA,NA
CASTEL,"Castilla elastica Sessé",CAEL5,USDA_Plants,ngee_tropics,"Castilla elastica",NA
LUEHSE,"Luehea seemannii Triana & Planch",kew-2496835,ThePlantList,ngee_tropics,"Luehea seemannii",NA
ANACEX,"Anacardium excelsum (Bertero ex Kunth) Skeels",kew-2635897,ThePlantList,ngee_tropics,"Anacardium excelsum",NA
CORDAL,"Cordia alliodora (Ruiz & Pav.) Oken",COAL,USDA_Plants,ngee_tropics,"Cordia alliodora",NA
CALYCA,"Calycophyllum candidissimum (Vahl) DC.",CACA73,USDA_Plants,ngee_tropics,"Calycophyllum candidissimum",NA
FICUIN,"Ficus insipida Willd.",kew-2810868,ThePlantList,ngee_tropics,"Ficus insipida",NA
ALBIED,"Albizia guachapele (Kunth) Dugand",ild-32326,ThePlantList,ngee_tropics,"Pseudosamanea guachapele",NA
ANTITR,"Pittoniotis trichantha Griseb.",kew-156694,ThePlantList,ngee_tropics,"Pittoniotis trichantha",NA
PSE1SE,"Pseudobombax septenatum (Jacq.) Dugand",kew-2412504,ThePlantList,ngee_tropics,"Pseudobombax septenatum",NA
CECRPE,"Cecropia schreberiana Miq.",CESC9,USDA_Plants,ngee_tropics,"Cecropia peltata",NA
TERMAM,"Terminalia amazonia (J.F.Gmel.) Exell",kew-2431494,ThePlantList,ngee_tropics,"Terminalia amazonia",NA
TOCOPI,"Tocoyena pittieri (Standl.) Standl.",kew-206933,ThePlantList,ngee_tropics,"Tocoyena pittieri",NA
CARAGU,"Carapa guianensis Aubl.",CAGU6,usda_Plants,ngee_tropics,"Carapa guianensis",NA
TACHVE,"Tachigali versicolor Standl. & L.O.Williams",ild-10610,ThePlantList,ngee_tropics,"Tachigali versicolor",NA
VOCHFE,"Vochysia ferruginea Mart.",kew-2461164,ThePlantList,ngee_tropics,"Vochysia ferruginea",NA
VIROSP,"Virola multiflora (Standl.) A.C.Sm.",kew-2452051,ThePlantList,ngee_tropics,"Virola multiflora",NA
MICOBO,"Miconia borealis Gleason",tro-20302782,ThePlantList,ngee_tropics,"Miconia borealis",NA
APEIME,"Apeiba membranacea Spruce ex Benth.",kew-2643251,ThePlantList,ngee_tropics,"Apeiba membranacea",NA
GUATDU,"Guatteria dumetorum R.E.Fr.",kew-2834344,ThePlantList,ngee_tropics,"Guatteria dumetorum",NA
CECRIN,"Cecropia insignis Liebm.",kew-2707049,ThePlantList,ngee_tropics,"Cecropia insignis",NA
